Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"ALTS",38.620,38.210,"38.450 - 38.610",900,1000,4961,250,"2:43pm - <b>38.591</b>","ProShares Morningstar Alternati"
"BATS",30.49,30.48,"30.03 - 32.00",100,100,3345001,100,"2:45pm - <b>30.50</b>","BATS Global Markets, Inc. Commo"
"BEMO",25.3000,25.1500,N/A,700,600,200,N/A,"4:00pm - <b>25.3568</b>","Aptus Behavioral Momentum ETF"
"CEMB",52.120,50.800,"50.810 - 50.990",100,4000,4646,400,"10:23am - <b>50.985</b>","iShares Emerging Markets Corpor"
"CNDF",25.45,25.39,N/A,1500,1600,102,N/A,"4:00pm - <b>25.20</b>","iShares Edge MSCI Multifactor C"
"CNSF",24.9100,24.8500,"24.8401 - 24.8401",2500,2500,480,300,"11:16am - <b>24.8401</b>","iShares Edge MSCI Multifactor C"
"CNYA",25.67,25.62,"25.64 - 25.64",1000,500,1700,100,"1:59pm - <b>25.68</b>","iShares MSCI China A ETF"
"CSM",52.5700,52.5200,"52.5400 - 52.7529",8800,2600,10114,283,"2:43pm - <b>52.5451</b>","ProShares Large Cap Core Plus"
"DDEZ",24.540,24.510,N/A,1000,500,100,N/A,"4:00pm - <b>24.895</b>","WisdomTree Dynamic Currency Hed"
"DDJP",24.0700,23.9200,N/A,1000,4500,100,N/A,"4:00pm - <b>24.8099</b>","WisdomTree Dynamic Currency Hed"
"DDLS",25.88,25.85,N/A,1000,500,100,N/A,"4:00pm - <b>25.33</b>","WisdomTree Dynamic Currency Hed"
"DDWM",25.69,25.65,"25.69 - 25.87",1000,1000,11458,100,"12:56pm - <b>25.71</b>","WisdomTree Dynamic Currency Hed"
"DEFA",24.100,24.070,N/A,1000,500,100,N/A,"4:00pm - <b>24.437</b>","iShares Adaptive Currency Hedge"
"DEWJ",23.42,23.39,N/A,1000,500,100,N/A,"4:00pm - <b>23.15</b>","iShares Adaptive Currency Hedge"
"DEZU",23.06,23.03,N/A,1000,500,100,N/A,"4:00pm - <b>22.55</b>","iShares Adaptive Currency Hedge"
"DFND",22.67,22.61,N/A,2000,400,100,N/A,"4:00pm - <b>22.83</b>","Realty Shares DIVCON Dividend D"
"DVEM",27.04,26.90,"27.23 - 27.23",1000,4500,269,200,"9:30am - <b>27.23</b>","WisdomTree Emerging Markets Div"
"DYB",24.750,24.700,N/A,3500,3200,100,N/A,"4:00pm - <b>24.754</b>","WisdomTree Dynamic Bearish U.S."
"DYLS",27.73,27.72,"27.73 - 27.79",5100,100,6265,100,"2:39pm - <b>27.73</b>","WisdomTree Dynamic Long/Short U"
"EDEN",56.02,55.94,"55.99 - 56.19",2400,900,1486,159,"11:45am - <b>56.19</b>","Ishares MSCI Denmark Capped ETF"
"EFNL",34.20,34.11,N/A,500,1200,305,100,"9:40am - <b>34.12</b>","Ishares MSCI Finland Capped ETF"
"ELKU",26.670,26.590,"26.572 - 26.682",1000,200,700,100,"1:59pm - <b>26.572</b>","Elkhorn FTSE RAFI U.S. Equity I"
"EMDV",49.79,49.49,N/A,200,200,264,100,"1:33pm - <b>49.50</b>","ProShares MSCI Emerging Markets"
"EMGF",38.1500,38.0000,N/A,100,100,100,N/A,"4:00pm - <b>38.8293</b>","iShares Edge MSCI Multifactor E"
"EMHY",50.6100,50.4300,"50.4958 - 50.6100",2600,800,2696,119,"2:39pm - <b>50.5338</b>","iShares Emerging Markets High Y"
"EMIH",25.02,24.80,N/A,300,100,100,N/A,"4:00pm - <b>24.74</b>","Deutsche X-trackers Emerging Ma"
"EMSD",25.73,25.70,"25.74 - 25.77",500,1000,746,100,"11:50am - <b>25.77</b>","WisdomTree Strong Dollar Emergi"
"EMSH",78.88,78.03,N/A,100,200,100,N/A,"4:00pm - <b>78.20</b>","ProShares Short Term USD Emergi"
"EMTL",52.78,52.45,N/A,5000,100,200,100,"9:53am - <b>52.55</b>","SPDR DoubleLine Emerging Market"
"ENOR",20.68,20.65,"20.50 - 20.68",1000,300,2820,100,"2:39pm - <b>20.65</b>","Ishares MSCI Norway Capped ETF"
"EPRF",25.31,25.19,"25.30 - 25.35",4900,500,7053,130,"2:43pm - <b>25.31</b>","Elkhorn S&P High Quality Prefer"
"ERGF",24.99,24.94,N/A,1000,1100,100,N/A,"4:00pm - <b>25.15</b>","iShares Edge MSCI Multifactor E"
"EWGS",43.990,43.870,"44.023 - 44.023",600,600,328,227,"11:29am - <b>44.023</b>","Ishares MSCI Germany Small Cap "
"EWUS",36.05,35.83,"35.79 - 36.09",1000,200,2876,200,"2:31pm - <b>35.84</b>","Ishares MSCI United Kingdom Sma"
"EYLD",26.30,26.00,N/A,400,100,104,N/A,"4:00pm - <b>26.53</b>","Cambria ETF Trust Cambria Emerg"
"EZR",22.72,22.67,N/A,500,1000,100,N/A,"4:00pm - <b>23.13</b>","WisdomTree Europe Local Recover"
"EZU",34.200,34.190,"34.170 - 34.325",48100,8300,1168180,200,"2:45pm - <b>34.195</b>","iShares MSCI Eurozone ETF"
"FIBR",103.56,101.08,"101.15 - 101.25",100,3000,2650,100,"1:14pm - <b>101.25</b>","iShares Edge U.S. Fixed Income "
"FNCF",25.780,25.740,"25.964 - 26.110",3000,500,515,200,"10:41am - <b>25.964</b>","iShares Edge MSCI Multifactor F"
