Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"AAAP",38.85,38.61,"37.87 - 38.75",400,100,25763,100,"3:00pm - <b>38.75</b>","Advanced Accelerator Applicatio"
"AAL",34.98,34.97,"34.86 - 35.55",3000,1100,5534594,100,"3:41pm - <b>34.97</b>","American Airlines Group, Inc."
"AAME",3.42,3.39,"3.31 - 3.43",100,100,3135,100,"2:33pm - <b>3.42</b>","Atlantic American Corporation"
"AAOI",21.12,21.11,"20.85 - 21.60",100,200,351549,154,"3:41pm - <b>21.12</b>","Applied Optoelectronics, Inc."
"AAON",28.10,28.08,"27.87 - 28.42",100,300,60473,100,"3:39pm - <b>28.08</b>","AAON, Inc."
"AAPC",10.45,10.44,"10.44 - 10.44",900,500,500,100,"9:59am - <b>10.44</b>","Atlantic Alliance Partnership C"
"AAPL",113.010,113.000,"111.550 - 113.390",700,1400,23710927,100,"3:41pm - <b>113.006</b>","Apple Inc."
"AAWW",40.13,40.09,"39.76 - 40.53",300,200,152804,100,"3:40pm - <b>40.11</b>","Atlas Air Worldwide Holdings"
"AAXJ",59.940,59.930,"59.871 - 60.210",600,1500,552305,100,"3:41pm - <b>59.945</b>","iShares MSCI All Country Asia e"
"ABAC",2.14,2.02,"2.02 - 2.13",200,1200,9152,100,"2:35pm - <b>2.12</b>","Aoxin Tianli Group, Inc."
"ABAX",50.64,50.61,"50.62 - 51.63",100,200,65053,100,"3:41pm - <b>50.64</b>","ABAXIS, Inc."
"ABCB",34.98,34.96,"34.90 - 35.49",200,600,58759,100,"3:40pm - <b>34.96</b>","Ameris Bancorp"
"ABCD",5.48,5.47,"5.47 - 5.71",600,600,5430,600,"3:31pm - <b>5.48</b>","Cambium Learning Group, Inc."
"ABCO",43.52,43.48,"42.55 - 43.84",200,100,175264,100,"3:41pm - <b>43.48</b>","The Advisory Board Company"
"ABDC",13.170,13.100,"13.090 - 13.220",200,100,73761,348,"3:36pm - <b>13.166</b>","Alcentra Capital Corp."
"ABEO",6.08,6.07,"6.04 - 6.37",400,1600,226794,400,"3:40pm - <b>6.07</b>","Abeona Therapeutics Inc."
"ABEOW",3.85,3.13,"2.45 - 4.00",1000,500,4667,100,"12:39pm - <b>3.75</b>","Abeona Therapeutics Inc."
"ABIL",3.88,3.78,"3.71 - 3.90",700,1500,3965,379,"3:10pm - <b>3.76</b>","Ability Inc."
"ABIO",2.91,2.88,"2.84 - 2.92",100,200,11144,100,"3:40pm - <b>2.88</b>","ARCA biopharma, Inc."
"ABMD",126.63,126.55,"122.26 - 127.22",100,100,325442,100,"3:41pm - <b>126.63</b>","ABIOMED, Inc."
"ABTL",16.63,16.60,"16.64 - 16.98",200,300,23771,100,"3:34pm - <b>16.64</b>","Autobytel Inc."
"ABTX",26.07,26.00,"26.00 - 26.26",100,700,27017,100,"3:38pm - <b>26.07</b>","Allegiance Bancshares, Inc."
"ABUS",3.99,3.97,"3.90 - 4.01",400,300,156240,100,"3:34pm - <b>3.97</b>","Arbutus Biopharma Corporation"
"ABY",18.930,18.920,"18.400 - 19.050",600,200,653360,100,"3:41pm - <b>18.925</b>","Atlantica Yield plc"
"ACAD",34.29,34.27,"33.86 - 34.93",400,100,1048585,100,"3:41pm - <b>34.28</b>","ACADIA Pharmaceuticals Inc."
"ACAS",16.94,16.93,"16.92 - 17.00",4600,3900,723868,100,"3:40pm - <b>16.94</b>","American Capital, Ltd."
"ACAT",14.56,14.53,"14.51 - 14.77",300,700,50511,100,"3:39pm - <b>14.56</b>","Arctic Cat Inc."
"ACBI",14.65,14.62,"14.59 - 14.98",200,200,13925,300,"3:35pm - <b>14.64</b>","Atlantic Capital Bancshares, In"
"ACET",19.07,19.06,"19.06 - 19.66",700,200,189260,100,"3:39pm - <b>19.06</b>","Aceto Corporation"
"ACFC",6.40,6.31,"6.27 - 6.39",600,200,2753,100,"3:29pm - <b>6.31</b>","Atlantic Coast Financial Corpor"
"ACGL",79.51,79.48,"79.44 - 79.96",100,500,263483,100,"3:40pm - <b>79.50</b>","Arch Capital Group Ltd."
"ACHC",48.08,48.07,"47.95 - 49.73",500,300,1102851,100,"3:41pm - <b>48.07</b>","Acadia Healthcare Company, Inc."
"ACHN",8.340,8.330,"8.300 - 8.860",1400,2100,1746649,100,"3:41pm - <b>8.339</b>","Achillion Pharmaceuticals, Inc."
"ACIA",107.8300,107.5200,"106.5000 - 111.3840",100,300,3069562,100,"3:41pm - <b>107.6874</b>","Acacia Communications, Inc."
"ACIU",17.1300,17.0900,"15.5000 - 17.4000",400,100,888082,100,"3:39pm - <b>17.0901</b>","AC IMMUNE SA"
"ACIW",18.76,18.75,"18.67 - 18.96",200,900,260244,100,"3:41pm - <b>18.76</b>","ACI Worldwide, Inc."
"ACLS",12.94,12.90,"12.34 - 12.98",400,400,71732,100,"3:40pm - <b>12.94</b>","Axcelis Technologies, Inc."
"ACNB",26.99,26.50,"26.50 - 27.10",200,100,1994,150,"12:57pm - <b>27.10</b>","ACNB Corporation"
"ACOR",22.95,22.94,"22.81 - 25.00",1000,400,2638721,100,"3:41pm - <b>22.95</b>","Acorda Therapeutics, Inc."
"ACPW",0.317,0.310,"0.310 - 0.337",100,700,25440,100,"3:38pm - <b>0.317</b>","Active Power, Inc."
"ACRS",25.00,24.94,"24.45 - 25.02",100,300,106225,100,"3:35pm - <b>24.95</b>","Aclaris Therapeutics, Inc."
"ACRX",3.63,3.62,"3.61 - 3.78",300,500,287036,100,"3:39pm - <b>3.62</b>","AcelRx Pharmaceuticals, Inc."
"ACSF",11.09,11.04,"10.85 - 11.12",100,100,38702,200,"3:40pm - <b>11.04</b>","American Capital Senior Floatin"
"ACST",1.91,1.86,"1.85 - 1.96",300,200,17554,100,"3:09pm - <b>1.93</b>","Acasti Pharma, Inc."
"ACTA",12.27,12.22,"10.76 - 12.50",200,300,633822,400,"3:41pm - <b>12.27</b>","Actua Corporation"
"ACTG",6.34,6.33,"6.01 - 6.39",1200,200,242882,100,"3:40pm - <b>6.34</b>","Acacia Research Corporation"
"ACTS",2.0900,2.0800,"2.0800 - 2.1100",700,8200,7762,100,"3:02pm - <b>2.0892</b>","Actions Semiconductor Co., Ltd."
"ACTX",13.55,13.49,N/A,1100,1000,0,N/A,"2:12pm - <b>13.51</b>","Global X Guru Activist ETF"
"ACUR",1.6100,1.5800,"1.5100 - 1.7000",400,3700,90315,100,"3:38pm - <b>1.5998</b>","Acura Pharmaceuticals, Inc."
"ACWI",58.62,58.61,"58.56 - 58.81",11500,400,876943,100,"3:41pm - <b>58.62</b>","iShares MSCI ACWI Index Fund"
"ACWX",41.15,41.15,"41.12 - 41.30",500,400,470872,200,"3:40pm - <b>41.15</b>","iShares MSCI ACWI ex US Index F"
"ACXM",26.65,26.64,"26.59 - 26.97",300,100,196457,100,"3:40pm - <b>26.65</b>","Acxiom Corporation"
"ADAP",7.16,7.09,"7.01 - 7.24",300,500,72624,100,"3:40pm - <b>7.12</b>","Adaptimmune Therapeutics plc"
"ADBE",107.43,107.42,"106.53 - 107.57",300,300,1737675,100,"3:41pm - <b>107.40</b>","Adobe Systems Incorporated"
"ADES",8.45,8.11,"7.84 - 8.55",100,100,19056,549,"3:29pm - <b>8.26</b>","Advanced Emissions Solutions, I"
"ADHD",4.62,4.58,"4.56 - 4.69",400,300,31916,100,"3:41pm - <b>4.60</b>","Alcobra Ltd."
"ADI",62.40,62.39,"62.22 - 62.97",400,700,2591498,100,"3:41pm - <b>62.40</b>","Analog Devices, Inc."
"ADMA",7.35,7.31,"7.00 - 7.41",1800,200,29945,100,"3:39pm - <b>7.34</b>","ADMA Biologics Inc"
"ADMP",3.45,3.44,"3.35 - 3.47",5500,1700,347792,1014,"3:40pm - <b>3.45</b>","Adamis Pharmaceuticals Corporat"
"ADMS",17.7000,17.6800,"17.0799 - 17.7988",200,200,140520,500,"3:41pm - <b>17.6992</b>","Adamas Pharmaceuticals, Inc."
"ADP",88.35,88.34,"87.86 - 88.45",500,100,732195,100,"3:41pm - <b>88.33</b>","Automatic Data Processing, Inc."
"ADRA",28.4500,28.3100,"28.3249 - 28.4466",300,200,1427,245,"2:56pm - <b>28.3249</b>","BLDRS Asia 50 ADR Index Fund"
"ADRD",20.1200,20.0400,"20.0666 - 20.1299",500,1000,820,150,"11:40am - <b>20.0708</b>","BLDRS Developed Markets 100 ADR"
"ADRE",34.57,34.47,"34.58 - 34.79",1000,200,6484,200,"12:09pm - <b>34.58</b>","BLDRS Emerging Markets 50 ADR I"
"ADRO",13.280,13.270,"13.260 - 15.010",400,300,384190,100,"3:41pm - <b>13.275</b>","Aduro Biotech, Inc."
"ADRU",19.60,19.40,"19.51 - 19.51",1000,500,334,100,"2:31pm - <b>19.51</b>","BLDRS Europe 100 ADR Index Fund"
"ADSK",71.16,71.15,"70.58 - 71.64",200,500,1134558,100,"3:41pm - <b>71.16</b>","Autodesk, Inc."
"ADTN",18.75,18.74,"18.71 - 18.98",500,900,117039,100,"3:41pm - <b>18.75</b>","ADTRAN, Inc."
"ADUS",26.52,26.45,"25.52 - 26.62",400,200,45342,100,"3:40pm - <b>26.46</b>","Addus HomeCare Corporation"
"ADVM",4.04,4.03,"4.00 - 4.22",300,100,108261,100,"3:40pm - <b>4.03</b>","Adverum Biotechnologies, Inc."
"ADXS",10.540,10.530,"10.490 - 11.200",200,300,647738,500,"3:41pm - <b>10.539</b>","Advaxis, Inc."
"ADXSW",6.97,6.80,"6.88 - 7.13",400,1900,1223,100,"1:51pm - <b>6.88</b>","Advaxis, Inc."
"AEGN",18.61,18.59,"18.40 - 18.76",500,200,76653,100,"3:40pm - <b>18.60</b>","Aegion Corp"
"AEGR",2.66,2.64,"2.53 - 2.90",600,1600,734944,100,"3:39pm - <b>2.65</b>","Aegerion Pharmaceuticals, Inc."
"AEHR",2.7400,2.6700,"2.6600 - 2.8900",400,100,45351,1000,"3:30pm - <b>2.7056</b>","Aehr Test Systems"
"AEIS",46.03,46.02,"45.57 - 46.65",100,100,387276,100,"3:41pm - <b>46.02</b>","Advanced Energy Industries, Inc"
"AEMD",5.18,4.94,"4.89 - 5.13",100,1000,11812,328,"3:36pm - <b>5.08</b>","AETHLON MEDICAL INC"
"AEPI",111.43,111.17,"110.87 - 111.77",1100,100,44693,100,"3:39pm - <b>111.27</b>","AEP Industries Inc."
"AERI",39.29,39.26,"38.03 - 39.48",100,100,812441,100,"3:40pm - <b>39.27</b>","Aerie Pharmaceuticals, Inc."
"AETI",2.4900,2.4500,"2.4200 - 2.5465",200,400,2700,300,"12:59pm - <b>2.4999</b>","American Electric Technologies,"
"AEY",1.75,1.73,"1.73 - 1.81",100,1800,19067,500,"2:52pm - <b>1.75</b>","ADDvantage Technologies Group, "
"AEZS",3.44,3.42,"3.42 - 3.50",500,9600,111417,1000,"3:29pm - <b>3.42</b>","AEterna Zentaris Inc."
"AFAM",36.38,36.26,"36.34 - 36.70",100,200,21096,100,"3:40pm - <b>36.35</b>","Almost Family Inc"
"AFH",16.33,16.28,"16.09 - 16.73",200,100,28944,100,"3:40pm - <b>16.28</b>","Atlas Financial Holdings, Inc."
"AFMD",2.85,2.83,"2.81 - 2.97",300,1000,41484,100,"3:36pm - <b>2.84</b>","Affimed N.V."
"AFSI",26.19,26.18,"26.12 - 26.39",400,200,541381,100,"3:41pm - <b>26.19</b>","AmTrust Financial Services, Inc"
"AGEN",7.05,7.04,"6.84 - 7.07",1000,900,874313,100,"3:40pm - <b>7.05</b>","Agenus Inc."
"AGFS",5.20,5.17,"5.15 - 5.32",200,100,37887,100,"3:36pm - <b>5.18</b>","AgroFresh Solutions, Inc."
"AGFSW",0.78,0.65,"0.66 - 0.75",1500,100,4357,1000,"1:48pm - <b>0.75</b>","AgroFresh Solutions, Inc."
"AGII",55.48,55.45,"55.43 - 55.99",100,100,44915,100,"3:39pm - <b>55.44</b>","Argo Group International Holdin"
