Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"KIQ",1.00,0.99,"0.97 - 1.00",500,600,35425,300,"3:11pm - <b>0.97</b>","Kelso Technologies Inc Ordinary"
"KLDX",5.460,5.450,"5.430 - 5.740",800,400,213360,450,"3:32pm - <b>5.452</b>","Klondex Mines Ltd. Common Stock"
"LAQ",21.050,20.900,"20.880 - 21.120",800,500,1856,500,"3:08pm - <b>20.936</b>","Aberdeen Latin America Equity F"
"LBY",17.37,17.32,"17.03 - 17.46",100,100,18646,100,"3:34pm - <b>17.35</b>","Libbey, Inc. Common Stock"
"LEI",3.45,3.43,"3.40 - 3.49",1100,800,12899,100,"3:33pm - <b>3.45</b>","Lucas Energy, Inc. Common Stock"
"LEU",3.78,3.74,"3.70 - 3.81",500,200,8334,100,"3:19pm - <b>3.75</b>","Centrus Energy Corp. Class A Co"
"LGL",4.25,3.86,N/A,100,100,59,N/A,"3:59pm - <b>4.05</b>","LGL Group, Inc. (The) Common St"
"LIQT",0.810,0.780,"0.790 - 0.808",100,300,1800,100,"10:13am - <b>0.808</b>","LiqTech International, Inc. Com"
"LNG",42.88,42.87,"42.56 - 44.04",500,300,1165591,100,"3:34pm - <b>42.97</b>","Cheniere Energy, Inc. Common St"
"LODE",0.3584,0.3561,"0.3560 - 0.3699",100,3200,216697,100,"3:32pm - <b>0.3562</b>","Comstock Mining, Inc. Common St"
"LOV",1.65,1.63,"1.63 - 1.69",1100,1600,30129,100,"3:33pm - <b>1.66</b>","Spark Networks, Inc. Common Sto"
"LTS",2.20,2.19,"2.09 - 2.22",400,700,108829,100,"3:33pm - <b>2.21</b>","Ladenburg Thalmann Financial Se"
"LTS-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MAB",15.1900,15.1400,"15.1900 - 15.3200",100,500,541,341,"3:08pm - <b>15.2999</b>","Eaton Vance Massachusetts Munic"
"MAG",15.45,15.43,"15.37 - 16.35",400,600,92114,100,"3:31pm - <b>15.48</b>","MAG Silver Corporation Ordinary"
"MCF",9.03,9.01,"9.00 - 9.34",200,300,57012,100,"3:31pm - <b>9.06</b>","Contango Oil & Gas Company Comm"
"MCZ",0.2200,0.2181,"0.2100 - 0.2305",400,200,152856,100,"3:31pm - <b>0.2122</b>","Mad Catz Interactive Inc Common"
"MDGN",5.57,5.54,"5.39 - 5.60",300,500,74464,300,"3:33pm - <b>5.57</b>","Medgenics, Inc. Common Stock"
"MGH",0.2862,0.2800,"0.2752 - 0.2899",500,7000,128241,1400,"3:31pm - <b>0.2851</b>","Minco Gold Corporation Common S"
"MGT",2.0600,2.0500,"1.9700 - 2.2800",700,500,1301834,2000,"3:34pm - <b>2.0504</b>","MGT Capital Investments Inc Com"
"MHE",14.740,14.590,"14.628 - 14.628",600,200,896,896,"2:14pm - <b>14.628</b>","BlackRock Massachusetts Tax-Exe"
"MHH",7.75,7.55,"7.61 - 7.75",1500,2000,600,200,"10:40am - <b>7.71</b>","Mastech Digital, Inc Common Sto"
"MIW",15.510,N/A,N/A,800,N/A,0,N/A,"11:44am - <b>15.419</b>","Eaton Vance Michigan Municipal "
"MJCO",4.95,4.86,"4.86 - 5.00",200,300,3230,100,"3:16pm - <b>4.86</b>","Majesco Common Stock"
"MLSS",2.05,2.01,"1.98 - 2.11",2800,100,21262,100,"3:28pm - <b>2.05</b>","Milestone Scientific, Inc. Comm"
"MMV",15.12,14.88,"15.13 - 15.13",800,100,384,147,"11:07am - <b>15.13</b>","Eaton Vance Massachusetts Munic"
"MOC",N/A,N/A,"2.80 - 2.82",N/A,N/A,664,100,"10:29am - <b>2.81</b>","Command Security Corporation Co"
"MSN",1.06,1.02,"1.03 - 1.07",100,500,5685,100,"3:15pm - <b>1.04</b>","Emerson Radio Corporation Commo"
"MSTX",0.1219,0.1218,"0.1150 - 0.1370",23700,6800,23404699,1000,"3:34pm - <b>0.1242</b>","Mast Therapeutics, Inc. Common "
"MVF",10.63,10.59,"10.56 - 10.68",200,1600,22132,1100,"3:18pm - <b>10.65</b>","Blackrock MuniVest Fund, Inc. C"
"MXC",3.53,3.30,"3.34 - 3.71",300,100,15717,100,"3:27pm - <b>3.71</b>","Mexco Energy Corporation Common"
"MZA",16.82,16.80,"16.80 - 17.00",100,100,17950,100,"3:27pm - <b>16.85</b>","Blackrock MuniYield Arizona Fun"
"NAK",0.752,0.750,"0.740 - 0.820",200,100,505933,2000,"3:34pm - <b>0.754</b>","Northern Dynasty Minerals, Ltd."
